Relative Compactness,Surface Area,Wall Area,Roof Area,Overall Height,Orientation,Glazing Area,Glazing Area Distribution,Heating Load,Cooling Load
0.69,735,294,220.5,3.5,4,0.4,5,14.37,16.54
0.79,637,343,147,7,2,0.4,2,41.64,45.59
0.79,637,343,147,7,3,0.4,2,43.1,39.41
0.79,637,343,147,7,4,0.4,2,42.74,38.84
0.79,637,343,147,7,5,0.4,2,41.92,48.03
0.76,661.5,416.5,122.5,7,2,0.4,2,40.78,39.48
0.76,661.5,416.5,122.5,7,3,0.4,2,40.15,40.4
0.76,661.5,416.5,122.5,7,4,0.4,2,40.57,40.47
0.76,661.5,416.5,122.5,7,5,0.4,2,40.42,39.7
0.74,686,245,220.5,3.5,2,0.4,2,14.54,16.43
0.74,686,245,220.5,3.5,3,0.4,2,14.45,16.93
0.74,686,245,220.5,3.5,4,0.4,2,14.18,16.99
0.74,686,245,220.5,3.5,5,0.4,2,14.5,17.03
0.71,710.5,269.5,220.5,3.5,2,0.4,2,14.7,16.77
0.71,710.5,269.5,220.5,3.5,3,0.4,2,14.66,17.37
0.64,784,343,220.5,3.5,3,0.1,5,15.37,19.18
0.64,784,343,220.5,3.5,4,0.1,5,15.12,19.26
0.64,784,343,220.5,3.5,5,0.1,5,15.36,19.29
0.62,808.5,367.5,220.5,3.5,2,0.1,5,12.59,14.24
0.62,808.5,367.5,220.5,3.5,3,0.1,5,12.74,13.97
0.62,808.5,367.5,220.5,3.5,4,0.1,5,12.8,13.99
0.62,808.5,367.5,220.5,3.5,5,0.1,5,12.62,14.15
0.98,514.5,294,110.25,7,2,0.25,1,28.15,29.79
0.98,514.5,294,110.25,7,3,0.25,1,28.15,29.79
0.98,514.5,294,110.25,7,4,0.25,1,28.37,29.28
0.98,514.5,294,110.25,7,5,0.25,1,28.41,29.49
0.9,563.5,318.5,122.5,7,2,0.25,1,32.68,36.12
0.9,563.5,318.5,122.5,7,3,0.25,1,33.48,33.17
0.9,563.5,318.5,122.5,7,4,0.25,1,32.84,32.71
0.9,563.5,318.5,122.5,7,5,0.25,1,32,37.58
0.86,588,294,147,7,2,0.25,1,29.54,33.98
0.86,588,294,147,7,3,0.25,1,30.05,28.61
0.86,588,294,147,7,4,0.25,1,29.6,30.12
0.86,588,294,147,7,5,0.25,1,28.66,34.73
0.82,612.5,318.5,147,7,2,0.25,1,26.84,30.17
0.82,612.5,318.5,147,7,3,0.25,1,27.27,27.84
0.82,612.5,318.5,147,7,4,0.25,1,26.97,27.25
0.82,612.5,318.5,147,7,5,0.25,1,26.19,31.39
0.79,637,343,147,7,2,0.25,1,38.67,43.8
0.79,637,343,147,7,3,0.25,1,40.03,37.81
0.79,637,343,147,7,4,0.25,1,39.86,36.85
0.79,637,343,147,7,5,0.25,1,39.04,45.52
0.76,661.5,416.5,122.5,7,2,0.25,1,36.96,36.85
0.76,661.5,416.5,122.5,7,3,0.25,1,36.13,37.58
0.76,661.5,416.5,122.5,7,4,0.25,1,36.91,37.45
0.9,563.5,318.5,122.5,7,4,0.1,5,28.03,34.45
0.9,563.5,318.5,122.5,7,5,0.1,5,29.02,33.01
0.86,588,294,147,7,2,0.1,5,27.03,25.82
0.86,588,294,147,7,3,0.1,5,26.45,27.33
0.86,588,294,147,7,4,0.1,5,25.36,32.04
0.86,588,294,147,7,5,0.1,5,26.45,31.28
0.82,612.5,318.5,147,7,2,0.1,5,24.37,25.11
0.82,612.5,318.5,147,7,3,0.1,5,23.89,24.77
0.82,612.5,318.5,147,7,4,0.1,5,22.89,28.88
0.82,612.5,318.5,147,7,5,0.1,5,23.86,27.69
0.79,637,343,147,7,2,0.1,5,37.03,34.99
0.79,637,343,147,7,3,0.1,5,36.71,34.18
0.79,637,343,147,7,4,0.1,5,36.77,43.14
0.79,637,343,147,7,5,0.1,5,35.48,41.26
0.76,661.5,416.5,122.5,7,2,0.1,5,32.31,34.25
0.76,661.5,416.5,122.5,7,3,0.1,5,33.21,34.35
0.76,661.5,416.5,122.5,7,4,0.1,5,32.46,33.64
0.76,661.5,416.5,122.5,7,5,0.1,5,33.27,33.88
0.74,686,245,220.5,3.5,2,0.1,5,10.47,13.65
0.74,686,245,220.5,3.5,3,0.1,5,10.37,13.44
